# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.09386e-07 to 33.2194 h/Mpc,
# number of wavenumbers equal to 144
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       2.636009087869e-03      -2.274234873235e+00      -1.877419857680e+00      -1.879082313831e+00      -2.251675135845e+00      -1.889950248992e+00       5.932007426455e-01       5.836104184632e-01       4.504820060561e-04       9.377581792129e-04       9.382830111005e-04       4.318015962024e-04       9.193475517491e-04 
       3.318538826439e-03      -2.510678987847e+00      -2.283820978141e+00      -2.287978082893e+00      -2.464313058069e+00      -2.293214558383e+00       5.833333123657e-01       5.763829652412e-01       3.818162438529e-04       1.472341800215e-03       1.473644226906e-03       3.563762077321e-04       1.431497107779e-03 
       4.177792858629e-03      -2.686541632555e+00      -2.911993371357e+00      -2.922361733881e+00      -2.603610766715e+00      -2.913004488596e+00       5.693669870326e-01       5.656243759706e-01       2.008872886691e-05       2.299948408467e-03       2.303160343248e-03       1.711659926617e-05       2.215736129340e-03 
       5.259529594940e-03      -2.649996015812e+00      -3.870866391687e+00      -3.896624581734e+00      -2.537247846327e+00      -3.855434754227e+00       5.507132045269e-01       5.501751000968e-01      -7.142533119437e-04       3.566010577464e-03       3.573862033897e-03      -5.933789038212e-04       3.411352733501e-03 
       6.621355461154e-03      -2.280665674058e+00      -5.309350273931e+00      -5.372960201859e+00      -2.210345352950e+00      -5.273298177435e+00       5.276372804007e-01       5.291627925617e-01      -1.353719733206e-03       5.471314338387e-03       5.490284509582e-03      -9.623546863643e-04       5.233027124354e-03 
       8.335792650569e-03      -1.798616222268e+00      -7.418396110975e+00      -7.574085865765e+00      -1.892886327255e+00      -7.384970917733e+00       5.012380824445e-01       5.026530945190e-01      -5.898196677282e-04       8.280020350061e-03       8.325210195702e-03      -1.904674400514e-04       7.985288004843e-03 
       1.049414119525e-02      -1.817722893651e+00      -1.041980686465e+01      -1.079588738528e+01      -1.948433656496e+00      -1.048123547478e+01       4.718246159400e-01       4.718002450370e-01       1.275887290460e-03       1.232536622330e-02       1.243130018221e-02       5.852268755195e-04       1.197995580788e-02 
       1.321134102565e-02      -2.002795873561e+00      -1.451815259095e+01      -1.540914582800e+01      -1.814710995889e+00      -1.488445974316e+01       4.372443925082e-01       4.370182602753e-01      -5.160684711802e-04       1.800411118205e-02       1.824767899044e-02      -8.134335140002e-04       1.749206168197e-02 
       1.663209294105e-02      -1.402481221608e+00      -1.976831454259e+01      -2.181863182963e+01      -1.544791871352e+00      -2.091871626597e+01       3.961288155164e-01       3.962931784435e-01      -5.130360531827e-04       2.569340048945e-02       2.623750387819e-02       6.588097824531e-04       2.515530403915e-02 
       2.093856428399e-02      -1.569428462310e+00      -2.585124679129e+01      -3.036252538467e+01      -1.393942163695e+00      -2.884149151364e+01       3.494099777088e-01       3.493508144011e-01       6.284132595329e-05       3.555107745921e-02       3.671088022356e-02      -8.979554606042e-04       3.512563444341e-02 
       2.635996160194e-02      -1.134366163806e+00      -3.191585563029e+01      -4.116656324250e+01      -1.259619579316e+00      -3.860113482638e+01       2.976774921067e-01       2.976800519359e-01       1.353062372230e-03       4.736982517447e-02       4.966065619103e-02      -3.249511367097e-04       4.744935177140e-02 
       3.316758223674e-02      -8.975426841858e-01      -3.711877126926e+01      -5.404711513619e+01      -1.035446586071e+00      -4.993089779451e+01       2.445738383078e-01       2.445819718431e-01       4.633483976646e-04       6.074058283142e-02       6.472135131193e-02      -1.383211749115e-04       6.166402181366e-02 
       4.118798073038e-02      -7.290291753788e-01      -4.275245995814e+01      -6.814826649633e+01      -8.217766564581e-01      -6.232670976987e+01       1.986422957721e-01       1.986479044867e-01       8.132991395745e-04       7.561014018969e-02       8.112143573924e-02      -7.960348435534e-04       7.720597471710e-02 
       4.794615382525e-02      -6.294661988742e-01      -5.047737413270e+01      -7.977198267549e+01      -7.177479832485e-01      -7.301690416211e+01       1.720152016882e-01       1.720189528207e-01      -6.396939424192e-04       8.931811401963e-02       9.508113623415e-02      -6.616776950905e-04       9.056569283124e-02 
       5.284805802300e-02      -6.841009220581e-01      -5.874577262957e+01      -8.841571964202e+01      -6.470041433020e-01      -8.135429705599e+01       1.578802173443e-01       1.578763186511e-01      -5.853101721144e-04       1.005661821329e-01       1.058548305594e-01       8.071794567140e-04       1.010252117952e-01 
       5.689097162442e-02      -5.563270962769e-01      -6.702797677050e+01      -9.574357367744e+01      -5.699595587964e-01      -8.861368411900e+01       1.484723827677e-01       1.484756327232e-01       6.978134114457e-04       1.105772538428e-01       1.151958578636e-01      -5.829030411788e-04       1.101193484612e-01 
